Cutthroat1	巴图克的猛击 Bartuc's Cut-Throat
x	如果目前的网关不能正确代表您的实际位置，请选择其他的Battle.net地区连接网关。
x	改变服务器
x	目前的服务器
x	这个服务器已经有一个名称为「%s」的角色。
D2bnetHelp6a	ÿc5灰色文本ÿc4同样代表聊天频道中其他人的行动。
D2bnetHelp10aPatch	ÿc3蓝色文本ÿc4代表由 Battle.net 或暴雪工作人员直接发送的特别消息。
x	发送
x	密码警告
x	你不能把自己的密码发送给Battle.net上的其他玩家。暴雪绝不会因任何理由而询问你的密码。
x	连接中...
x	《暗黑破坏神II》无法连上服务器。 你所选择的服务器可能无法使用，也可能是你遭遇了网络连接的问题。 请确认你的网络连接运作正常，以及防火墙设置有打开port 6112。
x	更多
x	你在本服务器已经拥有超过 8 个角色。同一时间只能显示 8 个角色。
x	想看到更多的角色，你必须删除其中一个现有角色。这个删除的动作将是永久的，角色一旦删除后就无法复原。
X	服务条款
X	登录Battle.net代表您已经详读并同意其目前的服务条款。
x	%0 %1
GemXp1	手套、腰带、鞋子:
GemXp2	盾牌：
GemXp3	武器：
GemXp4	装甲：
expansionchar2x	资料片人物
x	头盔：
EskillLowersResistX	降低抵抗
ExInsertSocketsX	可以放入镶孔物品
EskillToMeleeX	对肉搏攻击
eskillincasemasteryX	%d几率做出致命一击
CfgSay7X	说撤退
champghostlyX	幽灵的
champfanaticX	狂热的
champpossessedX	着魔的
champberserkX	凶暴的
PalMercExST1X	变形 Shapeshifter
PalMercEXST3X	战斗法师 Fighter Mage
PalMercEXST4X	典型 Exemplar
increaseswithplaylevelX	（以角色等级决定）
RankX	Rank
x	
x	输入你的 email 地址，可让我们得以提供额外的服务，像是忘记帐号密码之类的问题都可以因此解决。请浏览 median-xl.com 来取得更多的信息。
x	电子邮件地址：
x	确认电子邮件地址：
x	注册
x	不要注册
x	请确定两组电子邮件地址相符。
x	无效的电子邮件地址
x	您所输入的电子邮件地址无效。请输入一组有效的电子邮件地址。
x	如果不注册电子邮件，你将无法取回忘记的帐号密码。你将没有别的机会来使用电子邮件地址注册这个帐号。
x	假如您忘记密码，但已使用有效的电子邮件地址注册此帐号，您可以点击「发送」以要求发送一组新密码至您的电子邮件地址。
x	已经收到您变更新密码的请求。假如您是以一组有效的电子邮件地址注册此帐号，我们将会发送给您一封引导您完成密码变更的信件。
x	继续
x	忘记您的密码了吗？请点击「帐号设置」。
x	您所输入的密码错误，您可以点击「帐号设置」来取得新密码。
x	帐号设置
x	帐号设置
x	如果您知道自己的密码，但想变更它的话，请点击这里。
x	如果您已经忘记密码，或是密码无法通过验证的话，请点击这里。
DAntlers (Grade 6)	如果您需要变更注册的电子邮件地址，请点击这里。
DAntlers (Sacred)	取得新密码
DAspis (Grade 1)	取得新密码
DAspis (Grade 2)	变更电子邮件地址
DAspis (Grade 3)	变更电子邮件地址
DAspis (Grade 4)	原始电子邮件地址：
DAspis (Grade 5)	新的电子邮件地址：
DAspis (Grade 6)	核对新邮件地址：
DAspis (Sacred)	如果您已经为本帐号注册了电子邮件地址，您可以在此进行变更。注意：如果想进行变更，前后两个电子邮件的地址都必须处于激活的状态。
DAssault Helmet (Grade 1)	您输入的原始与新邮件地址相同。请输入不同的电子邮件地址。
DAssault Helmet (Grade 2)	请确认输入的两栏新邮件地址是否相符。
DAssault Helmet (Grade 3)	最新消息
DAssault Helmet (Grade 4)	完成的上一个难度：
DAssault Helmet (Grade 5)	无
DAssault Helmet (Grade 6)	输入聊天
DAssault Helmet (Sacred)	\nwww.median-xl.com\n
DAthulua's Hand (Grade 1)	不安全的密码
DAthulua's Hand (Grade 2)	您所选择的密码并不安全，请输入新的密码。
DAthulua's Hand (Grade 3)	光盘序列号警告
DAthulua's Hand (Grade 4)	您不能把自己的光盘序列号发送给 Battle.net 上的其他玩家。暴雪绝不会因任何理由而向您索取光盘序号。
DAthulua's Hand (Grade 5)	将在今日过期
DAthulua's Hand (Grade 6)	将在 %d 天后过期
DAthulua's Hand (Sacred)	RIP
DAvenger Guard (Grade 1)	
DAvenger Guard (Grade 2)	
DAvenger Guard (Grade 3)	
DAvenger Guard (Grade 4)	
DAvenger Guard (Grade 5)	
DAvenger Guard (Grade 6)	
DAvenger Guard (Sacred)	
DBanded Plate (Grade 1)	
DBanded Plate (Grade 2)	《暗黑破坏神II》的角色必须持续进行游戏，否则就会过期失效。当你创建新角色时，其过期时间为最后一次使用的6个月后。
DBanded Plate (Grade 3)	角色一旦过期，就会从服务器永久删除。
DBanded Plate (Grade 4)	你的人物'%s'没有得到足够的关注而死掉了。
DBanded Plate (Grade 5)	ÿc1吞噬板条甲 Devouring Banded Plate
DBanded Plate (Grade 6)	ÿc1吞噬板条甲 Devouring Banded Plate
DBanded Plate (Sacred)	ÿc1吞噬板条甲 Devouring Banded Plate
DBelt (Grade 1)	ÿc1吞噬腰带 Devouring Belt
DBelt (Grade 2)	ÿc1吞噬腰带 Devouring Belt
DBelt (Grade 3)	ÿc1吞噬腰带 Devouring Belt
DBelt (Grade 4)	ÿc1吞噬腰带 Devouring Belt
DBelt (Grade 5)	ÿc1吞噬腰带 Devouring Belt
DBelt (Grade 6)	ÿc1吞噬腰带 Devouring Belt
DBelt (Sacred)	ÿc1吞噬腰带 Devouring Belt
DBlackguard Helm (Grade 1)	ÿc1吞噬黑守卫头盔 Devouring Blackguard Helm
DBlackguard Helm (Grade 2)	ÿc1吞噬黑守卫头盔 Devouring Blackguard Helm
DBlackguard Helm (Grade 3)	刺客技能
DBlackguard Helm (Grade 4)	ÿc1吞噬黑守卫头盔 Devouring Blackguard Helm
DBlackguard Helm (Grade 5)	ÿc1吞噬黑守卫头盔 Devouring Blackguard Helm
DBlackguard Helm (Grade 6)	你使用的 CD-KEY 序号被禁止连上服务器进行游戏。但你可以继续进行单一玩家或开放 Battle.net 游戏。
DBlackguard Helm (Sacred)	你的连接暂时被禁止连上这个服务器。 请择期再尝试登录一次。
toa	ÿc8颠茄萃取物 Belladonna Extract
DBladed Shield (Grade 2)	扭曲的苦痛精华 Twisted Essence of Suffering
DBladed Shield (Grade 3)	充盈的憎恨精华 Charged Essence of Hatred
DBladed Shield (Grade 4)	燃烧的恐惧精华 Burning Essence of Terror
DBladed Shield (Grade 5)	物品等级
DBladed Shield (Grade 6)	重置属性与技能点数
DBladed Shield (Sacred)	ÿc1吞噬刃盾 Devouring Bladed Shield
x	-- BEGIN SIGMA CORE --
x	The following lines are hardcoded -- Marco
x	偏好设置
x	保存并退出
x	返回游戏
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	
x	-- END 1.1 --
x	%ls后关卡锁定\n一项新的任务已开始
Rusted	锈蚀的
x	(需求等级: %d)
Used	用过的
x	将在以下时间后关闭: %s
x	请加入另一场游戏以再次进入\n此场景已被锁定
x	【一旦离开，无法再返回】
LegionX	军团成员 Legionnaire
EternalVigil	永恒警戒 Eternal Vigil
TerrQ	恐惧之
Leviath	利维坦*
Peace	和平*
Mana	法力*
ZakQ	萨卡兰姆之
DrQ	龙之
boxX	盒子
barrelX	板条桶
spines	脊骨*
slammer	号子
prophetX	先知
charmX	迷惑
strBodyLocItemHead	头盔
strBodyLocItemNeck	项链
strBodyLocItemTorso	身体护甲
strBodyLocItemRArm	右手物品
strBodyLocItemLArm	左手物品
strBodyLocItemRRin	右手戒指
strBodyLocItemLRin	左手戒指
strBodyLocItemBelt	腰带
strBodyLocItemBoots	鞋子
strBodyLocItemGloves	手套
strBodyLocItemRArmSwitch	右手的第二物品
strBodylocItemLArmSwitch	左手的第二物品
strDurabilityWarningDamaged	已受损\n已装备物品\n一件或以上的
strDurabilityWarningCritical	已严重受损\n已装备物品\n一件或以上的
strDurabilityWarningBroken	已损坏\n已装备物品\n一件或以上的
strRaidNotif	以加入任务：ÿc8%Sÿc4。\n加入以下名称的游戏\n一项新的讨伐任务已被激活，
strRaidNotifOwnGame	已在本场游戏中激活。\n
StrAmmoWarningLow	余弹数量低\n已装备物品\n一件或以上的
StrAmmoWarningCritical	弹药即将耗尽\n已装备物品\n一件或以上的
StrAmmoWarningEmpty	弹药已耗尽\n已装备物品\n一件或以上的
StrLevelUpNotif	升级
StrStatPointsNotif	新属性点
StrSkillPointsNotif	新技能点
StrQuestUpdateNotif	你的任务已取得新进度
StrCfgTabHotkey	\n热键设置
StrCfgTitleHud	\n界面和显示设置
StrCfgTabDisplay	\n设置
StrCfgTitleNotifications	\n通知设置
StrDisplayAlvl	场景等级: 
x	扭曲之刃类
CfgNoPickup	物品拾取切换
CfpMapReveal	点亮地图
StrCfgSmallAutomap	小型自动地图
StrCfgTitleAutomap	自动地图选项
StrCfgTheme	界面主题
CfgNotifGold	金币变化
CfgNotifLevelUp	升级
CfgNotifNewStats	新属性点
CfgNotifNewSkills	新技能点
CfgNotifActiveBuffs	生效的增益与减益状态
CfgNotifRealmWhispers	好友动态私聊
CfgDisplayHp	常显生命值
CfgDisplayMp	常显法力值
CfgDisplayGameTime	自动地图显示游戏经过时间
CfgDisplayIlvl	显示物品的等级
CfgDisplayGameName	自动地图显示游戏名称
CfgDisplayGamePwd	自动地图显示游戏密码
CfgDisplayAlvl	自动地图显示场景的等级
CfgVolume	游戏音量
CfgMusicVolume	音乐音量
CfgContrast	对比度
CfgGamma	亮度
x	法力护盾: +20% 伤害减少
x	每次施法〈自我牺牲〉伤害保持不变 (unchanged)\n+3 秒至〈仪式烽火〉增益持续时间
x	〈异教徒仪式〉也恢复法力
1263	〈超级野兽〉替代法术伤害以 50% 的效能增加致命攻击 (DS) 
x	+30% 穿透几率至〈精神鞭笞〉
x	+8 〈暴风乌鸦〉投射物 - 被打击后
x	+60 准确率 - 每高于 105 的人物等级\n〈狮子姿态〉不减少你的物理抗性
x	+40% 穿透几率至〈暴风之眼图腾〉
x	+200% 火焰伤害至〈竞技场〉
x	墓场: +2 额外投射物
x	诸 神 黄 昏  Ragh nar Rook
x	〈龙的祝福〉属性加成减半
x	法力护盾: 被击中时吸取 33% 更少法力
x	法力护盾: 被击中时吸取 95% 更少法力
x	月之光线: 增益持续时间加倍
x	50% 你的火焰与毒素法术伤害加为防御加成
UNUSED	+1000% 伤害至〈闪电场〉
StrCfgAssignHotkey	或按任意键分配\n按 DEL 取消分配按键\n按 ESC 取消
x	你无法造成火焰、闪电或毒素伤害\n每点体力获得的最大生命减少 0.5\n90% 的体力加为冰冷伤害至武器
x	无情寒冬 Remorseless Winter
x	击退敌人 - 若你拥有至少 1000 点力量
x	''知识就是力量''
x	+3% 法术伤害 - 每 1% 额外经验获取
x	ÿc5+100% 魔法伤害加成至〈石头澡〉\n+400% 魔法伤害加成至〈摔雷〉\n+300% 魔法伤害加成至〈地震〉\nÿc8若你无技能点于〈战斗姿态〉技能树:
x	ÿc1变形死亡领主 Deathlord Morph\nÿc8寄生: +6 额外目标
x	烈焰前线: +5 最大投射物
x	+1% 致命攻击 (DS) - 每〈火焰舞步〉基础等级
x	〈索格伦之像〉没有冷却时间
1288	灰烬之灵: +15% 总伤害
1289	灰烬之灵: +10% 总伤害
x	法力狂扫: +15% 总伤害, 不偷取法力
x	堡垒: +40% 穿透几率
x	+60% 穿透几率至〈堡垒〉
x	速速天降正义 Celeri Caelesti Iustitia
11294	20% 的闪电抗性加为闪电法术伤害
x	120级后 物理抗性 +15%\n120级及以下 +25% 获得的经验
x	变形树木守卫 Treewarden Morph
x	雷破: +100% 闪电伤害加成
11298	ÿc5+8% 物理/魔法法术伤害\n+25% 总角色防御\n+10 杀敌获取生命\n+1 所有技能\nÿc0(每镶有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11299	+180% 伤害 - 对萨卡兰姆 (The Zakarum)
x	ÿc5+20% to 元素抗性\n+0.75% 基础格挡率\n+1 所有技能\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
x	猴王万岁!
x	无法被反镶嵌
x	每秒吸取 2% 生命
x	+1 〈狩猎恶灵〉/〈灰烬之灵〉投射物\n每秒吸取 2% 生命
x	+1 〈狩猎恶灵〉/〈灰烬之灵〉投射物
x	+2 〈狩猎恶灵〉投射物\nÿc8〈灰烬之灵〉无效化 (Nullified)
x	+3 〈灰烬之灵〉投射物\nÿc8〈狩猎恶灵〉无效化 (Nullified)
x	随机元素抗性加成
x	随机移动速度加成
x	雷暴: +3 投射物
x	+150% 〈魔仆〉总伤害
x	+20 最大〈魔仆〉技能等级
11313	等级 10 〈奈非天之灵光环〉
x	幽灵之舞: +300% 魔法伤害加成
x	+1% 物理抗性 - 每 18% 法力恢复
x	每 20 体力 +1% 物理/魔法法术伤害
x	与符文于方块中重塑以开启时空裂缝(Time Rift)\n
x	-5% 致命攻击 (DS) - 每 1% 攻击速度\n+400% 致命攻击 (DS)
x	铁盾娘子: +15% 增强武器伤害(EWD) - 高于 120 的每一级角色等级
11320	无法升级
11321	+50% 穿透几率至〈精神鞭笞〉
11322	旋涡一号箭弹: +25% 魔法伤害加成
11323	-1% 冰冷法术伤害 - 每 1 光照范围\n+3% 火焰法术伤害 - 每 1 光照范围\n+2 法术专注 - 每 1 光照范围
11324	等级 20 鹰姿态\n精神鞭笞: +2 投射物
11325	等级 10 狼姿态
11326	增加 120% 你的物理/魔法法术伤害为武器物理伤害加成\n增加 120% 你的火焰法术伤害为武器物理伤害加成
11327	-1% 敌人毒素抗性 - 每 25 力量
11328	ÿc5增加 75-150 火焰伤害\n+30% 攻击速度\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11329	法力脉动: +50% 持续时间
11330	增加 200% 的压碎性打击为火焰与冰冷法术伤害
11331	+100% 魔法伤害加成至〈幽灵旋舞〉
11332	〈 闪电护盾 〉: +(18 ~ 30) 闪电伤害至武器 - 每技能等级\n〈雷神〉新星造成 5000 闪电伤害\n暴风爆: +1 投射物
11333	裁决化身: +3 目标
11334	+1% 致命攻击 (DS) - 每 6% 火焰法术伤害\n总防御减少 25%
11335	死亡碎片: +50% 生命偷取
11336	+3 〈魔法飞弹〉投射物
11337	等级 1 魔血光环
11338	技能取代法力耗费生命
11339	ÿc5-10% 敌人毒素抗性\n+30 杀敌获取生命\n+2.5% 物理抗性\n+1 所有技能\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11340	惩戒化身: 0.7% 伤害偷取为生命
11341	刀锋女王: +2500 闪电伤害至刀刃地雷
11342	-6% 增强武器物理伤害 - 每 1% 压碎性打击
11343	〈 海妖姿态 〉: +3% 伤害 - 每基础等级于〈圣殿骑士〉技能树\n等级 30 〈海妖姿态〉(Kraken Stance)
11344	不造成元素或魔法伤害
11345	无惧邪恶 Fear No Evil
11346	50% 你的总角色防御加成加为体力
11347	ÿc5+600 法术专注\n+25% 物理抗性\n+33% 致命攻击 (DS)\n+100% 魔法物品获取率 (MF)\n+50% 施法速度\nÿc8〈雷电室女〉、〈酒神节〉与〈巨龙传说〉:\n如果你没有点数投入到〈母狮〉、〈铁盾娘子〉、
11348	雷电路线: 150 杀敌恢复生命\n锤子路线: -30% 敌人闪电抗性
11349	处刑: +14% 魔法伤害 - 每基础等级
11350	暗影庇护: 每基础等级 -1% 敌人火焰、冰冷与闪电抗性
11351	+100% 持续时间至〈日耀〉
11352	〈涌动〉冷却时间无法减少至 0.8 秒以下
11353	你仅可使用近战、召唤与辅助技能
11354	火焰穿透减少冰冷穿透\n火焰法术伤害减少冰冷法术伤害\n冰河新星: +150% 总伤害
11355	ÿc5 20 秒冷却时间至所有〈闪电〉技能树法术\nÿc8若你有任意点数加至〈复仇能量〉、〈灵焰〉或〈冰雪皇后〉
11356	泽瑞伊的自信: 双倍〈能量转移〉弹跳几率
11357	若被玩家装备 +20% 致命攻击 (DS)\n若被雇佣兵装备 +100% 魔法物品获取率 (MF)
11358	每次施法召唤一个额外的死灵法师仆从
11359	否则, -10% 〈精神鞭笞〉总伤害\n如果你最近未被击中, +30% 〈精神鞭笞〉总伤害
11360	-3% 敌人毒素抗性 - 每〈蛇姿态〉基础等级
11361	ÿc5-1% 敌人火焰与闪电抗性 - 每 60 属性\n+200% 火焰与闪电法术伤害\n增加 3 - 5 闪电伤害 - 每 20 属性\n增加 3 - 5 火焰伤害 - 每 20 属性\nÿc8当使用〈塑风〉(Windform) 时:
11362	〈仆从伤害〉也会以 50% 的效能提高你的法术伤害\n-1 最大图腾数量
11363	+1% 攻击速度 - 每 20 力量
11364	ÿc5+0.5% 最大元素抗性\n+250 生命\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11365	不造成闪电伤害
x	
x	
11368	恭喜!
11369	在 1 分 30 秒内杀死黑星龙后于方块中重塑
11370	+8 〈分叉闪电〉最大投射物
11371	不造成压碎性打击\n你的攻击忽视亡灵的物理抗性\n40% 的仆从生命提高加为总角色防御\n12% 的仆从伤害提高加为致命攻击 (DS)
11372	(最大: 1 分钟的交集时间)\n在杀死英普瑞斯与马萨伊尔后于方块中重塑
11373	与精华/符文石于方块中重塑以随机化属性(Roll Stat)
11374	可用〈鬼魂出窍〉升级
11375	躲避伤害的几率变为 0%
11376	〈火元素〉获得 100% 它们的物理伤害为火焰
11377	增加 1 - 3 火焰、冰冷与闪电伤害至武器 - 每 1 法术专注
11378	若装备有权杖 +120% 武器物理伤害
11379	ÿc5+1 投射物至〈寒冰爆发〉\nÿc8当以双持装备此武器时:
11380	ÿc5 +100% 〈山蝠〉投射物\nÿc8当以双持装备此武器时:
11381	你不可直接召唤〈冰元素〉
11382	你不可直接召唤〈刀刃之灵〉
11383	ÿc8等级 8 地狱火光环
11384	死亡波动: +1 投射物\n祸根 (Bane): +100% 持续时间
11385	+33% 提高〈跳跃〉速度
11386	〈 群箭齐射 〉: 50% 更多的投射物
11387	〈血契〉每秒恢复 3.5% 最大生命
11388	〈喜极而狂〉不降低你的防御
11389	蝎刀: +2 投射物
11390	〈守卫者英灵〉继承 100% 你的致命攻击 (DS)
11391	〈帷幕之王〉: +100% 生命与伤害
11392	〈死亡领主〉令你对所有伤害更显著地脆弱
11393	ÿc5+3% 强化武器伤害 - 每〈 瞬怒 〉技能等级\n+0.5% 压碎性打击 - 每〈 瞬怒 〉技能等级\n+0.5% 致命攻击 (DS) - 每〈 瞬怒 〉技能等级\nÿc8当〈 瞬怒 〉(Tantrum) 生效时:
11394	墓场: +40% 总伤害 以及 +2 投射物\n不造成火焰、闪电或冰冷伤害
11395	每有一点〈之道〉被动技能等级 +1% 冰冷法术伤害\n吸附激光: +1 投射物
11396	每有一点〈弩〉技能树基础等级，此火焰伤害提高 10%\n焰尾击: +500 火焰伤害
11397	炎阳击: +18% 火焰伤害加成 - 每基础等级于〈弓〉技能树\n〈炎阳击〉发射 1 投射物
11398	寄生: +200% 魔法伤害加成
11399	-2% 敌人元素抗性 - 每〈残杀〉基础等级
11400	此火焰伤害提高 15% - 每〈野火〉基础等级\n增加 750 火焰伤害至〈索格伦之像〉
11401	尖笑鬼魂: +8% 魔法伤害加成 - 每〈召唤技能〉基础等级
11402	ÿc5增加 100 - 200 冰冷伤害\n-10% 敌人冰冷抗性\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11403	增加 (40 ~ 60)% 的敏捷为魔法伤害至武器
11404	Three's a Company'' )\n( ''Cross the Wide, Somber Seas I Will Sail\n''三人结伴，穿过重洋，航向阴暗大海''
11405	( ''Cross the Wide, Somber Seas I Will Sail'' )\n''穿过重洋，航向阴暗大海''
11406	ÿc5+25% 总角色防御\n-5% 元素抗性\n+5% 物理抗性\nÿc0(每有 1 个高级/元素符文加成)\nÿc8字数对应法 Gematria
11407	狩猎恶灵: +1 投射物
11408	狩猎恶灵: +2 投射物
11409	-2% 敌人元素抗性 - 每〈奈非天之灵〉基础等级
11410	〈放电〉雷电频率提高 1 秒
11411	〈 驱魔 〉: +50% 总伤害
11412	〈浴血〉(Bloodbath)生效
11413	(最大: 1 分钟的交集时间)\n在杀死拉斯玛与孟德恩后于方块中重塑
StrCfgAutomapMode	小型自动地图
StrCfgTextOnlyNotif	通知仅显示文本
StrCfgDebugUi	启用调试界面 Enable Debug Interface
StrCfgColorblind	启用色盲调节 (color blindness accommodations)
StrMinute	 分钟
StrMinutes	 分钟
11420	+500% 增强武器伤害
11421	-70% 敌人元素抗性
11422	等级 20 扭曲力场 (Warp Field) 光环
11423	〈炼金术补给〉无效化
StrCfgShowAutomapParty	地图上显示召唤物与雇佣兵
11425	+1 额外的〈帷幕之王〉
11426	夜鹰: +10% 总伤害 以及 +2 额外夜鹰数\n帷幕之王: +25% 总伤害
11427	+1 额外的〈火焰之心图腾〉数量
11428	狰狞面容 (Grim Vision): 光环等级提高 5
11429	ÿc5+160% 〈钢铁魔像〉伤害\n+20% 压碎性打击 (CB)\n+20% 致命攻击 (DS)\nÿc8当〈钢铁魔像〉消耗此物品:
11430	+1 额外的〈图腾〉数
11431	
11432	杀死怪物回复平静 (RIP)
11433	ÿc5并抓紧时间重塑你的已升级小瓶\n在十一与十二之间的半小时杀死他\n以使赫拉迪姆方块被虚无所腐化\n在使者的攻击下生存足够长的时间\nÿc3致真正的勇士或疯子:\n\n
11434	ÿc5+50 生命\n+25 法力\n+5% 魔法物品获取率\n+1% 物理抗性\n+10 杀敌获取生命\nÿc0(基于奖杯)\nÿc8荣誉勋章 Medals of Honor
11435	ÿc4每次施法召唤 2 位〈艾迪伦〉\n可在任意地点召唤〈艾迪伦〉\nÿc5+50% 压碎性打击几率 (CB)\n+20% 生命加为伤害\n20% 复生为: ÿc9艾迪伦 Edyremÿc5\nÿc8〈 召唤艾迪伦 〉:
11436	〈 召唤艾迪伦 〉: +5000 防御
11437	ÿc5+10 精力\n+10 敏捷\nÿc8 与 1 个奖杯于方块中重塑以增加额外属性: 
11438	ÿc5+10 体力\n+10 力量\nÿc8 与 1 个奖杯于方块中重塑以增加额外属性:
11439	蝎蛰: 每基础等级 +1% 穿透几率至〈 闪电之怒 〉(Lightning Fury)
11440	〈 机枪岗哨 〉: +20 魔法伤害 - 每等级
11441	+250% 〈帷幕之王〉生命与魔法
11442	以解锁它真正的力量\n\nÿc5符文：Yham\n符文：Iah\n3 个学习印章G\nÿc3将此物品与以下物品重塑:
11443	以解锁它真正的力量\n\nÿc5符文：Qor\n符文：Ghal\n3 个学习印章G\nÿc3将此物品与以下物品重塑:
11444	〈 瞬怒 〉(Tantrum): 20% 体力加为冰冷伤害
11445	〈 伽马力场 〉: 提高伤害与降低持续时间
11446	〈裂魂〉(Soulshatter): +200 火焰伤害 - 每等级
11447	ÿc8鬼火 'Ignis Fatuus': 加成提高 50%
11448	ÿc5+3% 打击恢复 (每基础等级)\n+3% 冰冷法术伤害 (每基础等级)\nÿc8使用〈法力狂扫〉后: 
11449	ÿc4〈 命运 〉冷却时间提高 0.3 秒\nÿc8〈 命运 〉(Wyrd): 眩晕目标 0.2 秒
11450	恭喜!
11451	增加 2500 - 2500 魔法伤害
11452	附近敌人失去 10% 魔法与元素抗性
11453	ÿc5- 魔邪赝造 Demonic Forgery -
11454	ÿc5- 战神的诅咒 Curse of the Warlord -
11455	ÿc5- 神授之权 Divine Mandate -
11456	ÿc5- 奥术指引 Arcane Guidance -
11457	ÿc5- 永恒之治 Eternal Reign -
11458	ÿc5- 炼狱烈火 Infernal Blaze -
11459	ÿc5- 癫狂疯魔 Demonic Delirium -
11460	ÿc5- 枯萎的恩典 Blighted Grace -
11461	ÿc5- 阿斯卡利的荣耀 Askari Valor -
11462	ÿc5- 元素奇艺 Virtuosity of the Elements -
11463	ÿc5- 欺骗之网 Web of Deception -
11464	ÿc5- 恶邪消弭 Vile Dissolution -
11465	ÿc5- 能量合成 Power Synthesis -
11466	ÿc5- 始源之光 Glimmer of Genesis -
11467	ÿc5- 异教启示 Revelations of the Cult -
11468	ÿc5- 先祖遗产 Legacy of the Ancients -
11469	ÿc5- 阴影之拥 Shadow's Embrace -
11470	ÿc5- 黑星之耀 Glow of the Dark Star -
11471	ÿc5- 平衡法则 Axioms of Equilibrium -
11472	ÿc5- 毁灭之辱 Stigma of Excidium -
11473	(此护甲将根据配方被分解)\n若与〈长眠〉于方块中重塑，〈长眠〉可再次进行〈觉醒〉
11474	ÿc5- 阿图卢阿的决心 Athulua's Determination -
11475	ÿc5某件曾经强大的装甲的残片...
11476	难度: 60%\n恭喜!
11477	难度: 65%\n恭喜!
11478	难度: 70%\n恭喜!
11479	难度: 75%\n恭喜!
11480	难度: 80%\n恭喜!
11481	难度: 90%\n恭喜!
11482	难度: 100%\n恭喜!
11483	ÿc3与〈奖杯碎片〉重塑: 恢复 +20%\nÿc5最大元素抗性 +3%\n总角色防御 +50%\n+2 所有技能\nÿc0(基于恢复百分比)\nÿc8还原 Restitution
11484	ÿc3与〈奖杯碎片〉重塑: 恢复 +4%\nÿc5最大生命 +7%\n物理抗性 +15%\n+50% 作战速度 (Combat Speeds)\nÿc0(基于恢复百分比)\nÿc8还原 Restitution
11485	ÿc3与〈奖杯碎片〉重塑: 恢复 +5%\nÿc5+50% 魔法物品获取率 (MF)\n+10 所有技能\n+150 杀敌获取生命\n-50% 敌人冰冷抗性\n变为所有职业可用\nÿc0(基于恢复百分比)\nÿc8还原 Restitution
11486	ÿc5最大元素抗性 +3%\n总角色防御 +50%\n+2 所有技能\nÿc8奖杯祝福 Trophy Blessing
11487	ÿc5最大生命 +7%\n物理抗性 +15%\n+50% 作战速度 (Combat Speeds)\nÿc8奖杯祝福 Trophy Blessing
11488	ÿc5+50% 魔法物品获取率 (MF)\n+10 所有技能\n+150 杀敌恢复生命\nÿc8奖杯祝福 Trophy Blessing
11489	50% 的力量加为火焰伤害至武器
11490	33% 的敏捷加为冰冷伤害至武器
11491	36% 的敏捷加为闪电伤害至武器
11492	37% 的敏捷加为三元素伤害至武器
11493	〈催化陷阱〉冷却时间减少 10 秒\n〈焚化陷阱〉半径减少 50%
11494	+1% 〈陷阱〉伤害 - 每 5 基础力量
11495	ÿc850% 的力量加为额外魔法伤害至〈溅射攻击(AoE)〉词缀
11496	+3% 物理抗性 - 每〈复苏〉基础等级\n+1% 最大元素抗性 - 每个对应属性图腾
11497	为你的陷阱 -25% 敌人元素抗性
11498	ÿc3增强武器伤害 -150%\nÿc8增加 5 - 7 火焰伤害至武器 - 每 2% 攻击速度
11499	〈浴血〉持续时间提高 5 秒
11500	背刺: (Dodge)闪避几率降低 100%\n背刺: 持续时间提高 8 秒
11501	ÿc8增加 50% 当前法力为冰冷伤害\n当变为狼人形态时:
11502	狼人形态持续时 -75% 法力吸取
11503	〈金属鼓舞〉(Metal Solace): 同样升级〈图腾〉
11504	+1 投射物至〈天谴连弹〉(Punishers)
11505	〈火元素〉继承你的火焰法术伤害
11506	〈火元素〉继承你的精力与法术专注
11507	+1% 闪电法术伤害 - 每 2% 金币获取量 (GF)
11508	+3 额外的 〈翼龙〉(Dragon Wyrms)
11509	龙息 (Dragon Breath): 减少武器物理伤害 25%
11510	重装步兵: +5% 毒素穿透 - 每〈瘟疫〉基础等级
11511	〈翼龙〉数量减少 5\n〈翼龙〉发射两个火弹
11512	ÿc2\nÿc0(B祝福 (B Blessing) 期间生效)\nÿc8奈非天荣耀 Nephalem Glory\n
11513	ÿc2\nÿc0(V-祝福 (V- Blessing) 期间生效)\nÿc8尖牙之眼 Sharp-Tooth Eye\n
11514	应用在此物品上的〈球体〉效果增加到四倍
11515	受到武器伤害时于 5 秒内恢复 20% 生命
11516	+20% 总伤害至〈箭毒〉
11517	ÿc5-150% 召唤仆从伤害\n+250 每秒恢复生命\n+20% 〈怨恨〉系技能伤害\nÿc8若你没有〈终极技能〉:
11518	独特〈球体〉增加 +7 额外需求等级
11519	ÿc5〈洗礼〉偷取生命\nÿc8当装备〈催化〉与〈判决〉时:
